[2026-03-16T23:36:14.143Z] GET http://localhost:8085/assets/images/trees/Copal.png → 200 (?ms, 747763B)
[2026-03-16T23:36:14.143Z] GET http://localhost:8085/assets/images/trees/Roble.png → 200 (?ms, 682777B)
[2026-03-16T23:36:14.144Z] GET http://localhost:8085/assets/images/trees/Caimito.png → 200 (?ms, 955790B)
[2026-03-16T23:36:14.144Z] GET http://localhost:8085/assets/images/trees/GuayacanR.png → 200 (?ms, 1000133B)
[2026-03-16T23:36:14.144Z] GET http://localhost:8085/assets/images/trees/Cerezo.png → 200 (1ms, 814012B)
[2026-03-16T23:36:14.145Z] GET http://localhost:8085/assets/images/book-1.jpg → 200 (?ms, 473164B)
[2026-03-16T23:36:14.145Z] GET http://localhost:8085/assets/images/trees/Cenizo.png → 200 (?ms, 925056B)
[2026-03-16T23:36:14.145Z] GET http://localhost:8085/assets/logos/Logo_Blanco_LNDB.png → 304 (1ms, ?B)
[2026-03-16T23:36:14.145Z] GET http://localhost:8085/assets/images/trees/Yarumo.png → 200 (?ms, 1061748B)
[2026-03-16T23:36:14.146Z] GET http://localhost:8085/assets/fonts/Isaodelco-Regular.otf → 200 (?ms, ?B)
[2026-03-16T23:36:14.146Z] GET http://localhost:8085/assets/fonts/Mulish-Regular.ttf → 200 (?ms, ?B)
[2026-03-16T23:36:14.146Z] GET http://localhost:8085/assets/fonts/Mulish-Medium.ttf → 200 (?ms, ?B)
[2026-03-16T23:36:14.146Z] GET http://localhost:8085/assets/fonts/Mulish-SemiBold.ttf → 200 (?ms, ?B)
